journey,week_day,year,month,day,hour,minute,orig_lat,orig_lng,dest_lat,dest_lng,orig,dest
morning,Monday,2023,6,12,7,30,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,7,35,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,7,40,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,7,45,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,7,50,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,7,55,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,0,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,5,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,10,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,15,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,20,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,25,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,30,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,35,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,40,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,45,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,50,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,8,55,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,0,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,5,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,10,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,15,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,20,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,25,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,30,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,35,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
morning,Monday,2023,6,12,9,40,24.934176,67.177131,24.852102,67.033036,Malir,Avari Towers
